x,y,ar,
-58.200001,-30,-9.9,-2.04673839127635
-55.950001,-29.85,-8.25,-2.06089278573908
-56.849998,-29.85,-9.75,-2.05429505182384
-57.150002,-29.85,-9.45,-2.05213198287826
-57,-30.9,-8.7,-2.06755812070213
-56.700001,-29.700001,-9.3,-2.05330962840759
-56.099998,-30.299999,-9,-2.06601239339041
-57.150002,-28.35,-9.75,-2.03128935819549
-57.150002,-28.35,-9.75,-2.03128935819549
-57.150002,-28.35,-9.75,-2.03128935819549
-57.150002,-28.35,-9.75,-2.03128935819549
-57.150002,-28.35,-9.75,-2.03128935819549
-57.150002,-28.35,-9.75,-2.03128935819549
-56.700001,-30.9,-10.2,-2.06977225873065
-56.700001,-30.299999,-10.2,-2.06157712893005
-56.849998,-30.450001,-9.75,-2.06253230857172
-56.25,-29.549999,-9.45,-2.05450458839534
-56.849998,-30.15,-9.75,-2.05842266950139
-56.549999,-30.15,-8.85,-2.0606159762382
-56.099998,-30,-10.5,-2.06186323745991
-56.099998,-30,-10.5,-2.06186323745991
-56.099998,-30,-10.5,-2.06186323745991
-56.099998,-30,-10.5,-2.06186323745991
-56.099998,-30,-10.5,-2.06186323745991
-56.099998,-30,-10.5,-2.06186323745991
-57.299999,-30,-9.6,-2.05311397256395
-55.200001,-30,-10.2,-2.06861865181127
-57.299999,-30.6,-8.1,-2.06129699086363
-55.5,-30.9,-9.6,-2.0788122621225
-56.700001,-30.6,-9.6,-2.0656837618547
-56.849998,-28.950001,-9.15,-2.04180450403723
-57.299999,-29.4,-9.3,-2.04486023281502
-57.299999,-29.4,-9.3,-2.04486023281502
-57.299999,-29.4,-9.3,-2.04486023281502
-57.299999,-29.4,-9.3,-2.04486023281502
-57.299999,-29.4,-9.3,-2.04486023281502
-56.700001,-30.299999,-8.1,-2.06157712893005
-56.400002,-29.700001,-9.9,-2.05549345719439
-56.549999,-31.049999,-9.75,-2.07292648292384
-56.400002,-30.9,-8.7,-2.07200453547738
-57.150002,-30.15,-9.15,-2.05624731925279
-57.599998,-30.299999,-9.3,-2.05505957212955
-56.25,-29.85,-8.85,-2.05867523010269
-56.400002,-30.299999,-9.6,-2.06378558875378
-56.400002,-30.299999,-9.6,-2.06378558875378
