x,y,ar
-4.349998,39.150002,4.35
-4.650002,38.25,3.45
-4.650002,38.25,3.45
-7.199997,38.099998,4.5
-6.300003,37.799999,4.5
-6.300003,37.799999,4.5
-8.550003,38.549999,6.45
-7.800003,38.099998,4.8
-8.400002,38.400002,4.2
-8.400002,37.5,4.2
-9.900002,37.799999,5.4
-9.599998,37.5,5.4
-9.599998,37.5,5.4
-10.199997,37.5,6
-9.75,39.150002,4.95
-9.75,39.150002,4.95
-10.949997,37.349998,5.25
-12.900002,38.400002,5.1
-11.25,36.75,4.65
-11.25,36.75,4.65
-13.650002,37.349998,5.85
-12.599998,37.200001,5.7
-12.599998,36.299999,3.9
-13.349998,38.25,5.25
-13.199997,36.599998,5.4
-13.949997,36.150002,4.65
-13.949997,36.150002,4.65
-14.550003,35.549999,5.55
-14.400002,36.299999,5.7
-14.400002,36.299999,5.7
-15.150002,35.849998,5.25
-15.300003,35.400002,5.1
-15.300003,35.400002,5.1
-16.199997,36.299999,6.3
-15.300003,35.700001,5.4
-15.300003,35.700001,5.4
-16.650002,34.950001,5.85
-18.300003,34.200001,8.1
-18.300003,34.200001,8.1
-18.300003,34.200001,8.1
-18.150002,34.650002,6.45
-18.150002,34.650002,6.45
-18.150002,34.650002,6.45
-17.849998,33.450001,6.15
-17.849998,33.450001,6.15
-17.849998,33.450001,6.15
-19.949997,33.75,6.75
-18.599998,33.299999,6.3
-18.599998,33.299999,6.3
-19.800003,32.099998,7.8
-20.25,32.849998,6.15
-20.25,32.849998,6.15
-20.550003,31.35,8.25
-21.599998,31.5,6.9
-21.599998,31.5,6.9
-20.400002,30.6,7.5
-22.5,30.6,8.1
-21.599998,30,8.1
-22.949997,31.35,7.35
-22.349998,31.65,7.65
-22.800003,30.299999,8.1
-21.900002,30.6,9
-21.900002,30.6,9
-23.25,28.950001,6.45
-22.5,30.6,7.5
-22.5,30.6,7.5
-22.5,30.6,7.5
-23.099998,29.4,7.2
-23.099998,29.4,7.2
-23.099998,29.4,7.2
-23.550003,29.25,7.95
-23.550003,29.25,7.95
-23.550003,29.25,7.95
-23.550003,29.85,7.65
-23.550003,29.85,7.65
-23.550003,29.85,7.65
-24,30,6.9
-23.25,29.549999,8.25
-23.25,29.549999,8.25
-23.550003,30.75,7.05
-23.699997,30.299999,7.8
-23.25,30.450001,7.35
-23.699997,30.9,7.5
-22.050003,30.450001,8.55
-24.75,30.75,7.35
-23.400002,29.700001,6.9
-23.400002,29.700001,6.9
-22.800003,30.9,7.5
-23.699997,30.299999,8.4
-23.699997,30.299999,8.4
-22.949997,30.75,7.35
-23.849998,29.85,7.65
-23.849998,29.85,7.65
-23.849998,29.85,7.65
-22.5,31.200001,7.2
-22.5,31.200001,7.2
-22.5,31.200001,7.2
-24.300003,32.099998,8.7
-24.300003,32.099998,8.7
-24.300003,32.099998,8.7
-24.75,30.75,6.75
-24.75,30.75,6.75
-24.75,30.75,6.75
-24.599998,32.099998,6
-22.949997,30.450001,7.05
-22.949997,30.450001,7.05
-25.949997,31.65,6.45
-24.599998,30.299999,7.2
-25.050003,32.549999,6.45
-25.050003,30.450001,6.45
-25.349998,30.75,6.75
-25.800003,30,6.9
-25.800003,30,6.9
-24.900002,30.299999,5.7
-26.25,30.75,6.45
-26.25,29.549999,7.65
-26.400002,30.6,6.3
-25.800003,29.1,6.6
-25.800003,29.700001,7.5
-25.800003,29.700001,7.5
-27.599998,28.799999,8.1
-27.599998,28.799999,8.1
-27.599998,28.799999,8.1
-27.300003,27.6,7.5
-27.300003,27.6,7.5
-27.300003,27.6,6.6
-27.300003,27.6,6.6
-28.5,27.6,6
-28.5,27.6,6
-28.5,27.6,6
-27.449997,26.85,6.75
-27.449997,26.85,6.75
-30,26.700001,7.8
-30,26.700001,7.8
-29.25,25.950001,6.15
-29.25,25.950001,6.15
-29.25,25.950001,6.15
-30.300003,25.5,7.2
-29.849998,25.049999,7.05
-30.449997,24.15,4.95
-30.900002,25.200001,6.6
-30,24.299999,6.9
-30,24.299999,6.9
-30.300003,24,6.9
-30.300003,24.299999,6
-30.900002,24.299999,6.3
-30.900002,23.700001,7.2
-31.949997,24.15,6.75
-31.199997,23.1,7.2
-31.199997,23.1,7.2
-31.949997,22.049999,6.75
-31.949997,22.049999,6.75
-31.650002,22.35,7.05
-31.650002,22.35,7.05
-31.349998,20.549999,7.05
-31.349998,20.549999,7.05
-31.800003,21,6.6
-32.25,20.85,6.45
-31.5,20.700001,7.2
-32.099998,20.1,6.9
-31.199997,20.4,5.4
-31.199997,20.4,5.4
-31.349998,19.35,5.85
-33.300003,20.1,6.9
-33.599998,18.9,6.9
-32.25,19.35,6.75
-32.25,19.35,6.75
-33,17.700001,6.9
-33,17.700001,6.9
-33.150002,17.85,5.25
-33.150002,17.85,5.25
-33.599998,17.700001,6.6
-33.599998,17.700001,6.6
-34.199997,17.1,7.5
-34.199997,17.1,7.5
-34.199997,17.1,7.5
-33,15,6.9
-33.150002,13.65,7.05
-33.449997,14.85,5.85
-33.449997,14.85,5.85
-33.900002,12,6.6
-33.900002,12,6.6
-34.650002,12.15,5.55
-34.949997,10.95,6.75
-34.949997,10.95,6.75
-35.400002,12.9,6.3
